# Sta         Lat(deg)    Long(deg)
ARNG        43.67       247.38 
ARNP        45.44       283.64 
ARNR        48.51       13.99 
AROL        10.44       275.29 
ARP7        27.84       262.94 
ARP8        27.84       262.94 
ARPB        34.19       268.09 
ARPC        34.63       266.26 
ARPG        36.06       269.48 
ARPK        39.04       38.49 
ARQT        42.76       13.20 
ARRA        38.49       351.04 
ARRD        38.98       350.92 
ARRO        48.10       1.12 
ARRT        -37.28      142.93 
ARRV        35.31       266.87 
ARSG        36.17       265.88 
ARSH        -3.39       36.70 
ARSL        41.24       72.98 
ARSP        40.21       354.92 
ARSX        43.50       12.95 
ART1        39.16       20.99 
ART2        39.15       20.93 
ARTA        -38.62      176.14 
ARTE        39.00       240.59 
ARTU        56.43       58.56 
ARTV        41.18       41.82 
ARUB        -31.81      125.92 
ARUC        40.29       44.09 
ARUF        43.10       359.57 
ARUN        -27.94      153.37 
ARVA        39.80       254.91 
ARVC        61.10       265.93 
ARVE        45.74       358.89 
ARVL        -77.83      166.66 
ARWY        35.25       269.20 
ARYB        47.62       25.21 
ASAB        13.06       42.65 
ASAP        53.25       356.52 
ASBL        49.63       253.97 
ASBU        43.82       238.63 
ASC1        -7.95       345.59 
ASCC        42.86       13.59 
ASCG        -7.92       345.67 
ASCN        -7.95       345.59 
ASCO        42.82       13.64 
ASCS        42.26       282.20 
ASEC        -0.50       281.83 
ASHF        -29.32      151.09 
ASHL        42.18       237.33 
ASHM        36.35       243.86 
ASHV        35.60       277.45 
ASHW        44.48       271.92 
ASIA        45.87       11.53 
ASKY        75.73       301.74 
ASKZ        51.10       71.40 
ASMA        15.34       38.91 
ASND        46.55       269.09 
ASOS        10.05       34.55 
ASPA        -14.33      189.28 
ASSI        49.64       253.99 
AST1        39.39       242.69 
AST2        39.39       242.69 
AST3        46.32       48.05 
ASTA        38.17       238.32 
ASTI        44.91       8.20 
ASTO        42.46       353.95 
ASTU        42.19       355.71 
ASTY        36.55       26.35 
ASUB        36.21       278.32 
ASUM        -0.62       34.62 
AT01        63.48       197.99 
ATAL        38.65       23.00 
ATBU        43.48       12.55 
ATFO        43.37       12.57 
ATH2        14.08       100.61 
ATHE        -17.27      145.48 
ATHI        37.93       23.70 
ATHL        53.43       352.09 
ATHR        -33.45      117.02 
ATIC        -16.23      286.30 
ATJN        -19.30      289.86 
ATL1        33.94       275.48 
ATLI        59.59       226.29 
ATLO        43.32       12.41 
ATMA        44.13       280.68 
ATMI        43.33       12.27 
ATQK        70.47       202.59 
ATR1        46.85       288.74 
ATR5        43.86       280.62 
ATRI        42.55       14.01 
ATRM        43.86       280.62 
ATRS        37.24       22.83 
ATRU        47.13       51.95 
ATST        42.17       9.34 
ATTA        14.81       106.83 
ATTE        43.20       12.35 
ATTL        52.52       0.99 
ATW2        61.60       210.87 
ATWC        61.60       210.87 
ATWR        51.20       4.45 
ATYR        47.09       51.89 
AUB1        48.20       7.22 
AUBG        48.42       10.92 
AUBN        41.37       274.95 
AUBO        46.49       6.39 
AUBR        35.94       247.03 
AUBT        43.65       0.75 
AUBU        48.22       7.20 
AUCH        43.65       0.58 
AUCK        -36.60      174.83 
AUDR        58.42       24.31 
AUGL        59.37       206.65 
AUKT        -36.84      174.77 
AULL        44.21       9.97 
AULT        30.00       264.26 
AUMO        44.72       3.28 
AUNI        46.10       359.05 
AURI        43.71       4.95 
AURO        43.99       280.54 
AUT0        30.40       262.26 
AUT1        40.57       23.00 
AUT2        46.97       4.30 
AUTF        -54.84      291.70 
AUTN        46.95       4.29 
AV01        59.36       206.54 
AV02        59.33       206.57 
AV03        59.38       206.56 
AV04        59.36       206.56 
AV05        59.36       206.58 
AV06        54.15       194.23 
AV07        54.16       193.96 
AV08        54.14       193.97 
AV09        53.88       193.46 
AV10        54.10       194.07 
AV11        59.37       206.65 
AV12        54.21       194.10 
AV13        54.15       194.10 
AV14        54.12       194.16 
AV15        54.10       194.29 
AV16        59.39       206.47 
AV17        59.40       206.55 
AV18        59.38       206.56 
AV19        59.35       206.59 
AV20        59.35       206.57 
AV21        59.37       206.65 
AV24        54.59       195.25 
AV25        54.53       195.22 
AV26        54.57       195.42 
AV27        54.49       195.28 
AV29        54.47       195.41 
AV34        54.72       196.29 
AV35        54.85       195.61 
AV36        54.77       195.87 
AV37        54.71       196.00 
AV38        54.83       196.22 
AV39        54.81       196.00 
AV40        54.64       196.26 
AVAL        47.49       3.92 
AVCA        43.06       277.31 
AVE1        40.91       14.78 
AVEL        41.88       0.75 
AVEN        46.19       4.61 
AVI2        40.66       355.32 
AVIL        40.65       355.32 
AVIS        39.06       352.11 
AVLN        -41.20      174.93 
AVLS        43.57       354.09 
AVO1        41.11       15.08 
AVO2        40.84       15.02 
AVO3        40.87       14.63 
AVO4        40.90       15.44 
AVO5        51.50       357.30 
AVO6        27.60       278.48 
AVON        33.42       247.65 
AVOT        47.62       5.01 
AVR1        44.96       5.65 
AVRA        48.68       358.64 
AVRY        34.47       242.85 
AVTR        40.34       17.73 
AVUN        -15.64      167.09 
AWES        30.10       269.02 
AWIS        6.96        80.20 
AXPV        43.49       5.33 
AYD1        37.84       27.84 
AYOR        39.06       358.94 
AYSE        -45.40      287.32 
AYVL        39.31       26.69 
AZ36        32.48       248.79 
AZ3P        32.09       248.71 
AZAH        33.77       248.11 
AZAJ        33.41       248.44 
AZAM        31.73       248.93 
AZBC        34.06       247.85 
AZBH        35.11       245.40 
AZBK        33.37       247.38 
AZBR        32.26       249.20 
AZCA        32.50       249.07 
AZCC        31.39       250.07 
AZCG        32.88       248.27 
AZCK        33.83       248.06 
AZCL        32.98       248.48 
AZCN        36.84       252.09 
AZCO        31.39       250.07 
AZCS        33.66       248.11 
AZDG        31.35       250.45 
AZDS        35.53       245.64 
AZDT        31.96       249.23 
AZFH        33.57       248.29 
AZFL        35.18       248.34 
AZFM        34.85       245.40 
AZGA        32.95       247.29 
AZGB        33.40       249.23 
AZGE        33.45       247.65 
AZGI        33.31       248.27 
AZGL        33.44       249.17 
AZGR        39.09       331.98 
AZGT        33.37       248.18 
AZGV        35.25       245.75 
AZKG        35.19       245.95 
AZKR        33.06       249.09 
AZLH        34.51       245.65 
AZM1        33.03       247.94 
AZMA        32.57       248.66 
AZMO        33.06       247.74 
AZMP        35.37       245.85 
AZNE        32.68       245.40 
AZPA        33.69       247.72 
AZPE        33.57       247.74 
AZPG        36.91       248.54 
AZPK        34.15       245.71 
AZPS        34.61       247.54 
AZPV        34.59       247.68 
AZPX        33.50       247.95 
AZQZ        33.67       245.77 
AZRT        32.13       248.82 
AZRV        34.13       250.72 
AZRY        33.54       243.37 
AZSC        33.49       248.08 
AZSD        33.49       248.14 
AZSF        32.80       250.29 
AZSG        35.33       247.11 
AZSM        32.60       249.38 
AZSR        34.13       250.72 
AZST        33.17       248.36 
AZSV        34.27       248.76 
AZT1        39.37       255.14 
AZTC        36.13       248.76 
AZTH        33.49       247.13 
AZTN        32.19       249.04 
AZTP        33.45       248.06 
AZTU        32.31       249.00 
AZU1        34.13       242.10 
AZUE        7.96        279.57 
AZUL        -36.77      300.12 
AZUP        33.48       248.38 
AZUT        7.40        279.56 
AZVA        31.95       249.23 
AZWA        33.86       247.34 
AZWE        33.82       246.46 
AZWK        33.96       247.26 
AZWX        32.26       250.17 
AZYC        34.88       245.85 
AZYU        32.66       245.47 
AZYW        32.68       245.36 
B136        26.89       89.45 
B489        27.52       90.54 
B914        -39.82      286.77 
BA00        43.58       294.38 
BA01        44.34       280.33 
BABA        44.88       28.74 
BABI        2.12        96.67 
BABJ        -13.26      316.45 
BABN        -17.37      145.91 
BABR        -12.15      315.01 
BAC1        49.62       2.38 
BAC2        42.84       3.04 
BACA        46.56       26.91 
BACK        -74.43      257.52 
BACO        39.40       283.39 
BACT        44.39       6.65 
BADG        51.77       102.24 
BADH        50.23       8.61 
BADJ        38.89       353.01 
BAES        44.03       23.33 
