# Sta         Lat(deg)    Long(deg)
BAGH        23.16       92.19 
BAHR        26.21       50.61 
BAI1        41.16       351.97 
BAI3        48.33       289.10 
BAIA        47.65       23.56 
BAIE        49.19       291.74 
BAIL        -14.80      320.83 
BAIR        -11.31      318.14 
BAIS        44.02       23.34 
BAIT        -12.52      319.71 
BAJA        43.90       7.72 
BAJR        42.36       20.07 
BAK1        35.35       240.98 
BAK2        -6.49       106.85 
BAKC        0.35        29.89 
BAKE        64.32       264.00 
BAKO        -6.49       106.85 
BAKR        35.38       240.99 
BAKU        40.37       49.81 
BAL1        -0.53       98.50 
BAL2        47.93       7.54 
BAL4        42.46       76.19 
BAL5        39.19       283.41 
BALA        -32.46      123.87 
BALC        -31.86      115.81 
BALD        37.78       241.10 
BALG        47.93       7.54 
BALI        -33.77      115.84 
BALJ        32.09       35.64 
BALK        39.64       27.89 
BALL        -37.56      143.85 
BALM        -37.25      141.84 
BALN        -28.87      153.56 
BALT        45.30       27.35 
BALV        57.13       27.27 
BAMF        48.84       234.86 
BAMO        40.41       242.80 
BAN2        13.03       77.51 
BAND        40.33       28.00 
BANH        10.61       99.08 
BANI        -4.52       129.90 
BANK        -33.92      151.04 
BANL        45.38       21.14 
BANN        44.37       4.16 
BANO        44.41       18.53 
BANS        8.61        289.76 
BAPA        -9.39       321.78 
BAR1        33.48       240.97 
BAR2        18.21       288.90 
BAR3        51.52       0.10 
BAR4        56.95       352.50 
BAR6        41.41       15.02 
BAR7        47.63       7.48 
BAR8        42.42       353.02 
BAR9        -24.16      149.80 
BARA        43.07       357.29 
BARB        13.09       300.39 
BARC        46.19       12.56 
BARH        44.40       291.78 
BARI        15.80       268.69 
BARK        22.73       92.38 
BARN        44.10       288.84 
BARO        71.33       203.33 
BARR        44.33       280.31 
BARS        13.09       300.42 
BARY        43.04       0.67 
BAS1        45.42       296.22 
BAS2        42.00       9.05 
BAS3        6.20        282.61 
BASC        71.32       203.32 
BASE        42.61       245.13 
BASK        38.04       44.02 
BASS        45.76       11.73 
BASV        48.45       18.92 
BAT2        -33.43      149.57 
BAT3        -33.43      149.57 
BAT4        52.75       251.73 
BATA        10.10       276.62 
BATF        -17.55      320.26 
BATG        -79.01      170.72 
BATH        47.65       294.31 
BATK        40.05       70.81 
BATM        36.40       243.49 
BATT        40.52       242.79 
BAUB        43.88       3.97 
BAUD        48.71       265.41 
BAUG        47.54       359.91 
BAUS        56.41       24.19 
BAUT        51.19       14.52 
BAVC        -14.89      319.20 
BAVE        -34.17      289.23 
BAVL        54.40       53.23 
BAY5        55.19       197.29 
BAY6        55.19       197.29 
BAYB        40.25       40.19 
BAYF        51.78       359.91 
BAYR        43.45       276.11 
BAYS        52.67       357.23 
BAZO        47.69       359.83 
BBDH        -32.34      146.65 
BBDM        34.58       240.02 
BBID        44.19       248.47 
BBOO        -32.81      136.06 
BBRY        34.26       243.12 
BBUT        41.44       241.71 
BBYS        48.75       19.15 
BCAB        49.05       237.67 
BCAR        -37.76      301.70 
BCBU        49.25       237.00 
BCC2        39.17       281.83 
BCCG        49.31       242.35 
BCCH        49.15       238.00 
BCCO        49.69       235.00 
BCCQ        49.28       237.21 
BCCR        50.02       234.76 
BCCY        49.70       235.02 
BCDI        52.16       231.89 
BCDL        58.43       229.97 
BCDT        49.03       236.93 
BCES        48.43       236.57 
BCFJ        56.25       239.25 
BCFN        58.84       237.42 
BCFT        45.04       282.11 
BCH1        -41.15      288.70 
BCHE        -41.15      288.70 
BCHO        49.38       238.56 
BCIN        50.51       243.97 
BCKW        49.88       240.50 
BCL1        41.34       2.17 
BCLC        49.10       237.34 
BCLI        49.12       236.85 
BCLN        41.41       2.00 
BCMR        49.22       237.46 
BCMT        -28.13      153.19 
BCNA        49.18       236.05 
BCNS        48.65       236.55 
BCOM        49.27       291.84 
BCOR        -17.18      291.57 
BCOV        50.54       233.16 
BCPE        49.49       240.41 
BCPG        53.91       237.20 
BCPH        50.69       232.62 
BCPI        49.50       240.41 
BCPR        54.28       229.57 
BCPT        54.31       229.67 
BCRK        62.41       219.14 
BCSA        50.70       240.72 
BCSC        49.47       236.24 
BCSF        49.19       237.14 
BCSL        49.57       240.36 
BCSM        48.56       236.20 
BCSQ        49.70       236.85 
BCSS        53.25       228.19 
BCSU        49.60       240.32 
BCSW        49.73       245.11 
BCTE        54.51       231.37 
BCTS        49.01       236.92 
BCUS        -37.68      144.44 
BCVC        49.28       236.91 
BCVI        48.48       236.61 
BCVR        50.24       240.77 
BCWA        52.19       237.94 
BCWR        34.92       240.59 
BCWS        50.13       237.05 
BCYI        44.32       246.59 
BDCK        46.11       299.22 
BDEC        -19.27      291.40 
BDFD        45.13       287.02 
BDFV        46.14       287.28 
BDJC        -19.13      292.57 
BDLE        -37.76      147.66 
BDMR        -25.51      149.52 
BDMT        11.60       37.36 
BDOS        13.09       300.39 
BDRL        -12.91      45.19 
BDRM        -26.68      153.07 
BDRY        48.99       242.65 
BDSP        37.52       245.92 
BDST        -27.99      153.00 
BDVL        -25.90      139.35 
BDYP        -24.77      152.38 
BE30        48.21       16.32 
BEA2        62.41       219.14 
BEA4        45.31       286.11 
BEAN        -75.96      290.70 
BEAR        42.52       3.14 
BEAT        37.04       243.38 
BEAU        49.43       2.08 
BEAV        49.45       2.10 
BEC2        46.39       287.74 
BECA        46.35       287.57 
BECE        9.70        286.72 
BEDA        43.44       271.15 
BEDE        39.82       240.17 
BEDF        44.68       296.39 
BEE2        -27.72      153.20 
BEEC        -36.35      146.66 
BEER        35.56       242.22 
BEES        39.27       242.29 
BEG1        -36.68      149.84 
BEHR        3.77        101.52 
BEIU        46.67       22.35 
BEJ_        38.01       352.13 
BEJA        7.06        286.12 
BEJE        38.00       352.13 
BEJR        40.40       354.25 
BEL0        42.37       1.76 
BEL1        44.15       282.57 
BEL3        44.23       282.81 
BEL5        42.83       74.10 
BEL6        44.15       282.57 
BELE        -1.41       311.54 
BELF        54.58       354.07 
BELG        -77.87      325.37 
BELI        48.76       237.52 
BELL        41.60       1.40 
BELO        45.57       286.80 
BELP        37.59       14.98 
BELT        27.46       83.83 
BEMT        34.00       244.00 
BEN1        -36.54      146.01 
BEN2        38.95       354.12 
BENB        57.47       352.64 
BEND        44.06       238.68 
BENE        41.12       14.78 
BENI        -26.20      28.34 
BENN        -84.79      243.54 
BENT        40.46       269.33 
BEP1        40.30       279.93 
BEPA        -1.46       311.56 
BEPK        35.88       241.93 
BER1        6.49        285.59 
BER4        50.86       4.61 
BER5        -34.28      140.60 
BERA        40.70       19.96 
BERG        40.61       359.90 
BERI        -34.29      140.60 
BERM        -36.43      150.08 
BERO        41.71       22.85 
BERP        -74.55      248.12 
BERR        39.60       239.55 
BESI        28.23       84.38 
BESS        40.98       279.53 
BET1        60.79       198.16 
BETH        -28.25      28.33 
BEUA        -35.94      142.41 
BEUD        42.26       2.68 
BEUG        50.13       2.88 
BEUL        -35.85      142.27 
BEUT        59.58       223.53 
BEVA        45.67       13.07 
BEVE        44.19       9.77 
BEYS        37.68       31.75 
BEZA        51.31       4.32 
BEZD        50.51       16.23 
BF01        12.43       358.61 
BFIR        47.62       237.87 
BFLD        35.41       240.95 
BFLO        40.73       240.17 
BFLT        38.85       240.32 
BFMN        29.98       269.75 
BFNY        42.88       281.11 
BFO1        48.33       8.32 
BFRK        47.73       266.35 
BFSE        40.42       273.11 
BFSH        35.59       241.50 
BFTA        -29.11      26.20 
BFTN        -29.10      26.30 
BGBC        48.48       355.50 
BGDR        43.89       11.90 
BGGR        51.95       252.03 
BGGY        17.05       298.14 
BGIS        33.97       241.84 
BGL2        47.53       264.65 
BGL3        -33.91      150.72 
BGLY        47.53       264.65 
BGOH        41.38       276.36 
BHAL        12.18       40.62 
BHAO        36.16       128.98 
BHIL        39.38       239.88 
BHMA        26.69       281.03 
BHR2        26.21       50.61 
BHR3        26.21       50.61 
BHR4        26.21       50.61 
BHRH        21.41       39.48 
BHST        -39.49      176.06 
BHUM        27.54       90.72 
BHVN        39.61       285.79 
BIAX        52.45       358.25 
BIAZ        43.47       358.46 
BICA        46.82       25.85 
BIDI        13.91       109.10 
BIEC        -1.45       281.50 
BIEL        45.56       8.05 
BIEN        45.93       10.29 
BIGD        47.93       241.01 
BIGG        -36.28      148.03 
BIGP        37.17       241.66 
BIGR        43.68       274.51 
BIGS        39.29       243.18 
BIHA        44.81       15.87 
BIJA        9.75        275.42 
BIK0        42.85       74.53 
BIL5        45.97       252.00 
BIL6        45.97       252.00 
BILB        68.07       166.45 
BILE        40.14       29.98 
BILI        68.08       166.44 
BILL        33.58       242.94 
BILS        47.54       235.75 
BIN1        3.24        113.09 
BIN2        -32.41      151.65 
BIND        -26.67      149.05 
BING        38.89       40.50 
BINN        -33.15      115.70 
BINT        3.26        113.07 
BIOG        41.20       15.13 
BIOR        -60.74      315.26 
BIRC        -35.99      142.91 
BIRD        35.96       244.57 
BIRF        -40.68      176.25 
BIRP        26.48       87.27 
BIRZ        56.20       24.76 
BIS0        4.89        284.66 
BIS5        56.85       224.46 
BIS6        56.85       224.46 
BISH        42.88       74.62 
BISI        39.51       16.29 
BISK        50.26       17.43 
BISO        -32.86      27.43 
BIST        47.13       24.49 
BIT2        1.08        97.81 
BITI        1.08        97.81 
BITO        41.02       21.34 
BITS        63.30       211.81 
BIWI        48.71       7.66 
BJAB        7.18        2.00 
BJCO        6.38        2.45 
BJCT        -30.10      148.96 
BJFS        39.61       115.89 
BJKA        11.12       2.93 
BJMP        36.73       3.72 
BJNA        10.25       1.38 
BJNI        9.95        3.20 
BJNM        40.25       116.22 
BJPA        9.36        2.63 
BJSA        7.93        1.99 
BKAP        35.29       243.92 
BKFP        12.47       4.23 
BKLY        37.80       278.85 
BKMS        33.96       241.91 
BKNL        -32.00      141.47 
BKR1        35.13       240.89 
BKR2        35.13       240.89 
BKS1        44.56       296.27 
BKSD        -27.75      151.46 
BKVL        28.47       277.55 
BL01        46.14       12.20 
BLA1        37.21       279.58 
BLA2        37.95       273.23 
BLA3        39.02       273.28 
BLAB        48.27       265.28 
BLAC        39.80       240.71 
BLAP        53.78       356.97 
BLAS        79.54       337.03 
BLAW        48.27       265.30 
BLBP        19.35       204.29 
BLCK        -31.65      150.24 
BLCL        52.39       233.41 
BLEA        48.27       265.31 
BLEB        48.26       265.31 
BLEC        48.28       265.31 
BLEI        46.59       14.79 
BLER        50.96       1.82 
BLFD        46.75       295.81 
BLFT        47.63       6.86 
BLG2        46.17       5.57 
BLGA        2.71        113.78 
BLGL        -33.87      144.89 
BLGN        44.51       11.35 
BLGU        42.96       359.20 
BLIG        51.69       2.82 
BLIN        37.76       241.50 
BLIX        43.87       6.37 
BLKG        -31.93      117.11 
BLKM        42.61       245.11 
BLKS        42.61       245.11 
BLKT        -33.77      150.91 
BLKV        37.21       279.59 
BLMM        36.88       270.03 
BLMT        -31.95      115.93 
BLN1        34.66       253.21 
BLNA        -28.87      153.56 
BLNG        45.75       251.45 
BLNP        44.25       238.15 
BLOK        42.62       245.11 
BLOM        40.50       271.00 
BLOV        -19.85      291.75 
BLRA        41.81       13.56 
BLRK        40.77       240.91 
BLRN        -34.65      143.57 
BLRW        43.23       269.47 
BLSA        33.80       241.97 
BLSN        39.16       273.51 
BLUF        -46.59      168.29 
BLUM        40.95       241.95 
BLVR        47.32       6.61 
BLVU        47.60       237.82 
BLW2        42.77       250.44 
BLWB        48.26       265.29 
BLWC        48.27       265.29 
BLY1        42.41       238.95 
BLYN        48.02       237.07 
BLYT        33.61       245.29 
BM8A        -43.56      172.73 
BMAN        -31.11      138.71 
BMCL        28.66       81.71 
BMCP        58.78       223.52 
BMDW        -21.80      147.99 
BMHG        49.66       358.17 
BMHL        34.25       243.95 
